,,Data Availability and Replication Policy,,,,,,,,,
Journal,Policy,Data Editor,"Data Statement
Required","Data/Program
Sharing
Required","ReadMe file/
Documentation
Required",Repository,Repository,Publisher,Comments,Source,Further comments
QUARTERLY JOURNAL OF ECONOMICS,AER data availability policy,No,Yes,Yes,Yes*,Harvard Dataverse (QJE),,Oxford University Press,"Says they have adopted AER data avilability policy.
The website recommends the ReadMe Template on the ``Social Science Data Editors” website.",https://economics.harvard.edu/qje-data-policy,
AMERICAN ECONOMIC REVIEW,"DCAS
Data Legality Policy",Lars Vilhuber,Yes,Yes,Yes,Open-ICPSR (AEA),,American Economic Association,"All submissions must comply with our Data and Code Availability Policy. Papers that use data that cannot be published can be exempted from the requirement to provide some or all data (if notifying the journal upon submission and in your cover letter), but must otherwise comply with the policy.","https://www.aeaweb.org/journals/data
https://www.aeaweb.org/journals/data/data-code-policy
",
ECONOMETRICA,DCAS,Joan Llull,Yes,Yes,Yes,Zenodo- ES-replication-repository,,Wiley Online Library,"The Econometric Society (ES) and its journals, Econometrica, Quantitative Economics, and Theoretical Economics, have the policy to publish papers that include empirical, experimental, and/or simulation results only if the data and code used in the analysis are clearly and precisely documented and access to the data and code is non-exclusive to the authors.

Authors of these papers must provide, prior to acceptance, raw data, codes, and sufficient documentation to permit the replication of all the results in the paper and in the appendices approved for publication online. They must also provide sufficient information to replicate the process of obtaining this raw data from the original sources and cite all the sources of data appropriately.

The journals of the ES will conduct reproducibility checks for the empirical, experimental, and/or simulation results included in the paper and in the approved online appendices prior to final acceptance.

Requests for an exemption from providing the materials described in this policy, or for restricting their usage, should be stated clearly when the paper is first submitted for review. It will be at the editors' discretion whether the paper can then be reviewed. Exceptions will not be considered later in the review and publication process.

By submitting to any journal of the Econometric Society, authors indicate their acceptance of this Data and Code Availability Policy.",https://www.econometricsociety.org/publications/es-data-editor-website/data-and-code-availability-policy,
REVIEW OF ECONOMIC STUDIES,DCAS,Miklos Koren,Yes,Yes,Yes,Zenodo- REStud Replication,,Oxford University Press,"By submitting to the journal, you indicate that you accept the Data Availability Policy. In short, the default rule is that you are required to submit all code and data necessary to reproduce your work, and permit any reader of the journal to use them.","https://restud.dataeditor.group/before/#data-availability-policy
https://restud.dataeditor.group/after/",
JOURNAL OF POLITICAL ECONOMY,AER data availability policy,No,No,Yes,Yes,Harvard Dataverse (JPE),,University of Chicago Press,"It is the policy of the Journal of Political Economy to publish papers only if the data used in the analysis are clearly and precisely documented and are readily available to any researcher for purposes of replication. Authors of accepted papers, in particular those that contain empirical work, simulations, experimental work, or numerical computations, must provide to the Journal, prior to publication, the data, programs, and other details of the computations sufficient to permit replication. These will be posted on the JPE site. The editor should be notified at the time of submission if the data used in a paper are proprietary or if, for some other reason, the requirements above cannot be met.
For econometric and simulation papers, the minimum requirement should include the data set(s) and programs used to run the final models, plus a description of how previous intermediate data sets and programs were employed to create the final data set(s). Authors are invited to submit these intermediate data files and programs as an option; if they are not provided, authors must fully cooperate with investigators seeking to conduct a replication who request them. The data files and programs can be provided in any format using any statistical package or software, but a Readme PDF file documenting the purpose and format of each file provided, and instructing a user on how replication can be conducted, should also be provided.",https://www.journals.uchicago.edu/journals/jpe/datapolicy,
AMERICAN ECONOMIC JOURNAL–MACROECONOMICS,"DCAS
Data Legality Policy",Lars Vilhuber,Yes,Yes,Yes,Open-ICPSR (AEA),,American Economic Association,"All submissions must comply with our Data and Code Availability Policy. Papers that use data that cannot be published can be exempted from the requirement to provide some or all data (if notifying the journal upon submission and in your cover letter), but must otherwise comply with the policy.","https://www.aeaweb.org/journals/data
https://www.aeaweb.org/journals/data/data-code-policy
",
AMERICAN ECONOMIC JOURNAL–APPLIED ECONOMICS,"DCAS
Data Legality Policy",Lars Vilhuber,Yes,Yes,Yes,Open-ICPSR (AEA),,American Economic Association,"All submissions must comply with our Data and Code Availability Policy. Papers that use data that cannot be published can be exempted from the requirement to provide some or all data (if notifying the journal upon submission and in your cover letter), but must otherwise comply with the policy.","https://www.aeaweb.org/journals/data
https://www.aeaweb.org/journals/data/data-code-policy
",
JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,DCAS,No,No*,Yes,Yes,"Own website* (JEEA), public repositories for larger data packages",,Oxford University Press,"JEEA will publish papers only if any data used in the analysis are clearly and precisely documented and are readily available to any researcher for purposes of replication. Authors of accepted papers which contain empirical work, simulations, or experimental work, must provide to JEEA, prior to publication, the data, programs, and other details of the computations sufficient to permit replication. JEEA endorses DCAS, the Data and Code Availability Standard. These will be posted on the JEEA web site. JEEA’s data and code availability policy is compatible with DCAS and authors are encouraged to follow the Data and Code Availability Standard.
They encourage authors to follow DCAS.",https://academic.oup.com/jeea/pages/Author_Guidelines#Supplementary%20Material%20and%20Data,
